user_id,cart,buy,percent
2891500,11.0,10.0,0.9090909090909091
2033500,11.0,10.0,0.9090909090909091
7588000,10.0,9.0,0.9
11158000,9.0,7.0,0.7777777777777778
12377250,4.0,3.0,0.75
3981750,4.0,3.0,0.75
11535250,3.0,2.0,0.6666666666666666
8702500,9.0,5.0,0.5555555555555556
5642000,2.0,1.0,0.5
2076000,4.0,2.0,0.5
2198750,2.0,1.0,0.5
2870250,2.0,1.0,0.5
4256000,1.0,0.0,0.0
12231250,4.0,0.0,0.0
5898500,1.0,0.0,0.0
6921750,1.0,0.0,0.0
1025250,1.0,0.0,0.0
9720000,2.0,0.0,0.0
10915250,2.0,0.0,0.0
6751750,1.0,0.0,0.0
