user_id,cart,buy,percent
2891500,18.0,17.0,0.9444444444444444
12377250,14.0,13.0,0.9285714285714286
2033500,11.0,10.0,0.9090909090909091
7588000,11.0,10.0,0.9090909090909091
11158000,10.0,8.0,0.8
3981750,5.0,4.0,0.8
4102750,4.0,3.0,0.75
2870250,4.0,3.0,0.75
38250,3.0,2.0,0.6666666666666666
11535250,3.0,2.0,0.6666666666666666
5642000,3.0,2.0,0.6666666666666666
2198750,2.0,1.0,0.5
2480750,2.0,1.0,0.5
8702500,10.0,5.0,0.5
4256000,2.0,1.0,0.5
9720000,3.0,1.0,0.3333333333333333
2076000,7.0,2.0,0.2857142857142857
71250,1.0,0.0,0.0
6921750,1.0,0.0,0.0
5898500,1.0,0.0,0.0
7405250,2.0,0.0,0.0
10915250,2.0,0.0,0.0
12231250,4.0,0.0,0.0
1025250,1.0,0.0,0.0
6751750,1.0,0.0,0.0
