user_id,pv,buy,percent
12417500,24,17,0.708333333
6458000,2,1,0.5
5999000,7,3,0.428571429
4054000,20,7,0.35
7345250,9,3,0.333333333
4804500,3,1,0.333333333
12065000,11,3,0.272727273
6233750,78,20,0.256410256
3188000,8,2,0.25
266500,33,8,0.242424242
11972750,65,14,0.215384615
9794000,19,4,0.210526316
5697750,29,6,0.206896552
2704750,68,14,0.205882353
1194750,149,30,0.201342282
4304250,15,3,0.2
3035250,10,2,0.2
10264750,5,1,0.2
8280500,5,1,0.2
10513000,5,1,0.2
8017000,92,18,0.195652174
7269250,119,23,0.193277311
4809000,22,4,0.181818182
3010000,11,2,0.181818182
5962750,67,12,0.179104478
7211250,23,4,0.173913043
47000,35,6,0.171428571
3404000,463,79,0.17062635
3326250,72,12,0.166666667
12204750,6,1,0.166666667
6358500,6,1,0.166666667
1110750,44,7,0.159090909
10069500,102,16,0.156862745
282500,52,8,0.153846154
10302500,148,22,0.148648649
2882750,76,11,0.144736842
887500,14,2,0.142857143
5440500,14,2,0.142857143
309750,7,1,0.142857143
12173500,283,40,0.141342756
267250,132,18,0.136363636
3675000,88,12,0.136363636
2988000,66,9,0.136363636
861750,22,3,0.136363636
3304500,250,34,0.136
8230750,59,8,0.13559322
11782250,15,2,0.133333333
567250,91,12,0.131868132
11121500,38,5,0.131578947
10628500,473,62,0.131078224
6713250,145,19,0.131034483
1620500,23,3,0.130434783
1165500,23,3,0.130434783
7367000,93,12,0.129032258
145750,55,7,0.127272727
8385000,144,18,0.125
4716750,88,11,0.125
9946250,56,7,0.125
252500,40,5,0.125
4115500,16,2,0.125
10885750,8,1,0.125
5110750,65,8,0.123076923
3861500,74,9,0.121621622
6400000,151,18,0.119205298
11564250,135,16,0.118518519
3054250,51,6,0.117647059
1909250,77,9,0.116883117
3625250,86,10,0.11627907
5915250,69,8,0.115942029
1727500,44,5,0.113636364
7116750,107,12,0.112149533
6458500,45,5,0.111111111
425500,18,2,0.111111111
12386500,18,2,0.111111111
3799500,9,1,0.111111111
2132250,9,1,0.111111111
6067750,9,1,0.111111111
7143250,322,35,0.108695652
9123500,138,15,0.108695652
83250,37,4,0.108108108
10000250,28,3,0.107142857
6497000,38,4,0.105263158
4852500,210,22,0.104761905
7320250,48,5,0.104166667
9394500,77,8,0.103896104
1247000,58,6,0.103448276
3396250,29,3,0.103448276
7830250,29,3,0.103448276
5292000,98,10,0.102040816
10393750,89,9,0.101123596
5952250,40,4,0.1
9352750,20,2,0.1
4620000,20,2,0.1
12061000,20,2,0.1
5769750,162,16,0.098765432
4004500,51,5,0.098039216
3293750,82,8,0.097560976
452750,166,16,0.096385542
3211250,209,20,0.09569378
5059000,63,6,0.095238095
9782000,85,8,0.094117647
8129250,97,9,0.092783505
2378500,76,7,0.092105263
8555500,109,10,0.091743119
10539250,55,5,0.090909091
3226500,33,3,0.090909091
9079500,11,1,0.090909091
8216500,265,24,0.090566038
10322250,56,5,0.089285714
3282250,45,4,0.088888889
835000,264,23,0.087121212
6619500,69,6,0.086956522
7854500,219,19,0.086757991
5336750,150,13,0.086666667
12371000,127,11,0.086614173
6172000,35,3,0.085714286
5143250,269,23,0.085501859
5751500,165,14,0.084848485
5256500,59,5,0.084745763
12016750,238,20,0.084033613
10609250,120,10,0.083333333
10756500,48,4,0.083333333
746000,36,3,0.083333333
8757750,24,2,0.083333333
