user_id,fav,buy,percent
3913250,24.0,23.0,0.9583333333333334
8243500,9.0,8.0,0.8888888888888888
2033500,8.0,7.0,0.875
9123500,8.0,7.0,0.875
5865750,7.0,6.0,0.8571428571428571
1812000,6.0,5.0,0.8333333333333334
4770500,6.0,5.0,0.8333333333333334
7588000,10.0,8.0,0.8
5292000,4.0,3.0,0.75
11158000,8.0,6.0,0.75
10312750,15.0,11.0,0.7333333333333333
12234750,11.0,8.0,0.7272727272727273
9706000,7.0,5.0,0.7142857142857143
8040000,3.0,2.0,0.6666666666666666
6957500,3.0,2.0,0.6666666666666666
7600250,3.0,2.0,0.6666666666666666
2921750,3.0,2.0,0.6666666666666666
4782250,3.0,2.0,0.6666666666666666
3573750,5.0,3.0,0.6
11321750,4.0,2.0,0.5
5078750,2.0,1.0,0.5
11142000,2.0,1.0,0.5
848500,2.0,1.0,0.5
299750,2.0,1.0,0.5
791500,2.0,1.0,0.5
5769750,2.0,1.0,0.5
2331750,13.0,5.0,0.38461538461538464
3293750,3.0,1.0,0.3333333333333333
10401500,3.0,1.0,0.3333333333333333
621500,7.0,2.0,0.2857142857142857
6654750,4.0,1.0,0.25
232000,5.0,1.0,0.2
7060500,7.0,0.0,0.0
3742000,1.0,0.0,0.0
5898500,1.0,0.0,0.0
1966250,4.0,0.0,0.0
7918750,3.0,0.0,0.0
6003750,2.0,0.0,0.0
4097500,1.0,0.0,0.0
7785250,2.0,0.0,0.0
3787750,1.0,0.0,0.0
3405000,1.0,0.0,0.0
8096750,1.0,0.0,0.0
3114000,1.0,0.0,0.0
1046250,1.0,0.0,0.0
3317500,2.0,0.0,0.0
1114000,1.0,0.0,0.0
6247250,1.0,0.0,0.0
2756000,2.0,0.0,0.0
6900500,1.0,0.0,0.0
380000,1.0,0.0,0.0
563500,1.0,0.0,0.0
11711250,1.0,0.0,0.0
8051750,1.0,0.0,0.0
5082750,1.0,0.0,0.0
