user_id,fav,buy,percent
3913250,26.0,25.0,0.9615384615384616
2033500,11.0,10.0,0.9090909090909091
10054250,11.0,10.0,0.9090909090909091
8243500,9.0,8.0,0.8888888888888888
9123500,9.0,8.0,0.8888888888888888
5865750,8.0,7.0,0.875
5220750,8.0,7.0,0.875
4770500,7.0,6.0,0.8571428571428571
1812000,6.0,5.0,0.8333333333333334
7588000,11.0,9.0,0.8181818181818182
11158000,9.0,7.0,0.7777777777777778
6571750,4.0,3.0,0.75
5292000,4.0,3.0,0.75
5078750,4.0,3.0,0.75
1528500,4.0,3.0,0.75
9946250,4.0,3.0,0.75
10312750,15.0,11.0,0.7333333333333333
12234750,11.0,8.0,0.7272727272727273
711500,18.0,13.0,0.7222222222222222
3952000,3.0,2.0,0.6666666666666666
7600250,3.0,2.0,0.6666666666666666
10976250,3.0,2.0,0.6666666666666666
9842500,3.0,2.0,0.6666666666666666
6571000,3.0,2.0,0.6666666666666666
11601500,3.0,2.0,0.6666666666666666
12215000,3.0,2.0,0.6666666666666666
1561250,3.0,2.0,0.6666666666666666
2921750,3.0,2.0,0.6666666666666666
5034000,3.0,2.0,0.6666666666666666
6957500,3.0,2.0,0.6666666666666666
3742000,3.0,2.0,0.6666666666666666
11949750,8.0,5.0,0.625
3573750,5.0,3.0,0.6
8040000,5.0,3.0,0.6
9706000,12.0,7.0,0.5833333333333334
11711250,14.0,8.0,0.5714285714285714
5059000,2.0,1.0,0.5
7306250,2.0,1.0,0.5
848500,2.0,1.0,0.5
11142000,2.0,1.0,0.5
1046250,2.0,1.0,0.5
5769750,2.0,1.0,0.5
11321750,8.0,4.0,0.5
2626250,2.0,1.0,0.5
6003750,4.0,2.0,0.5
299750,2.0,1.0,0.5
4782250,4.0,2.0,0.5
2331750,15.0,6.0,0.4
3148500,3.0,1.0,0.3333333333333333
791500,3.0,1.0,0.3333333333333333
7921500,3.0,1.0,0.3333333333333333
3293750,3.0,1.0,0.3333333333333333
11874000,7.0,2.0,0.2857142857142857
621500,7.0,2.0,0.2857142857142857
3317500,4.0,1.0,0.25
11747250,4.0,1.0,0.25
6654750,4.0,1.0,0.25
232000,5.0,1.0,0.2
6247250,7.0,1.0,0.14285714285714285
10401500,9.0,1.0,0.1111111111111111
5898500,1.0,0.0,0.0
5082750,1.0,0.0,0.0
4547500,1.0,0.0,0.0
6900500,1.0,0.0,0.0
7918750,3.0,0.0,0.0
4097500,1.0,0.0,0.0
8051750,1.0,0.0,0.0
2756000,3.0,0.0,0.0
2797750,3.0,0.0,0.0
7785250,2.0,0.0,0.0
3114000,1.0,0.0,0.0
8096750,1.0,0.0,0.0
563500,4.0,0.0,0.0
1966250,4.0,0.0,0.0
3787750,1.0,0.0,0.0
10768750,1.0,0.0,0.0
1114000,1.0,0.0,0.0
11737250,1.0,0.0,0.0
380000,1.0,0.0,0.0
7184500,1.0,0.0,0.0
3405000,1.0,0.0,0.0
7060500,14.0,0.0,0.0
